OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total,OrderDate
1,Donna Noble,WZ,39.00,Tachyon Frequency Matrix,201.00,47.00,1.00,9447.00,201.00,3762.7200,13410.7200,07/21/2019
2,Chakotay,WE,15.00,Universal Gravitronic Dissipation Node,240.00,15.34,4.25,3681.60,1020.00,705.2400,5406.8400,07/17/2017
11,Geordi La Forge,PB,12.00,Holographic Variance Sensor,283.00,37.49,1.83,10609.67,517.89,1335.3072,12462.8672,03/04/2017
17,Tasha Yar,WO,34.00,Subspace Transference Cell,327.00,45.49,2.15,14875.23,703.05,5296.6152,20874.8952,10/03/2017
23,Odo,WF,16.00,Modular Transition Modulator,91.00,40.48,1.00,3683.68,91.00,603.9488,4378.6288,12/26/2017
24,Obi-Wan Kenobi,AA,32.43,Reserve Axial Dissipation Inverter,142.00,0.00,3.05,0.00,433.10,140.454330,573.554330,09/17/2017
25,Worf,LM,41.00,Negative Control Compensator,207.00,21.00,1.00,4347.00,207.00,1867.1400,6421.1400,01/07/2017
26,BB-8,FH,-3.37,Marmite,208.00,-1.67,3.00,-347.36,624.00,-9.322768,267.317232,08/03/2018
27,Andy Weir,LO,9.43,Reserve Axial Dissipation Inverter,184.00,0.00,3.05,0.00,561.20,52.921160,614.121160,06/20/2017
27,C-3PO,AM,15.40,Quantum Dissipation Matrix,340.00,28.54,0.53,9703.60,180.20,1522.10520,11405.90520,08/01/2017
27,Jack O'Neill,BM,-3.00,Bioneural Polarization Coil,185.00,29.84,3.00,5520.40,555.00,-182.2620,5893.1380,10/27/2016
28,Tasha Yar,WO,34.00,Negative Polarization Grid,74.00,18.44,2.39,1364.56,176.86,524.0828,2065.5028,08/06/2017
29,Wade Watts,IR,21.00,Peanut Shells,318.00,3.00,-3.00,954.00,-954.00,0.0000,0.0000,05/14/2019
37,Geordi La Forge,FO,22.67,Burlap,168.00,6.00,0.00,1008.00,0.00,228.513600,1236.513600,04/19/2018
45,Sarah Jane Smith,LM,41.00,Bioneural Polarization Coil,210.00,29.84,3.00,6266.40,630.00,2827.5240,9723.9240,03/31/2017
50,Art3mis,WF,16.00,Marmite,227.00,-1.67,3.00,-379.09,681.00,48.3056,350.2156,06/03/2018
52,Wade Watts,LF,12.10,Primary Flux Matrix,106.00,8.43,0.00,893.58,0.00,108.12318,1001.70318,09/12/2017
53,Obi-Wan Kenobi,WG,18.89,Universal Gravitronic Dissipation Node,167.00,15.34,4.25,2561.78,709.75,617.992017,3889.522017,05/22/2018
54,Lando Calrissian,LB,13.05,Negative Isolinear Control Cell,197.00,15.00,1.84,2955.00,362.48,432.931140,3750.411140,02/22/2018
61,Amy Pond,SM,25.29,Secondary Polarization Capacitor,114.00,30.00,2.70,3420.00,307.80,942.760620,4670.560620,08/23/2018
62,Ender Wiggin,BS,40.62,Holographic Variance Sensor,255.00,37.49,1.83,9559.95,466.65,4072.804920,14099.404920,05/17/2018
63,Ender Wiggin,AA,32.43,Modular Inertial Replication Scanner,251.00,7.00,3.00,1757.00,753.00,813.993000,3323.993000,11/03/2017
64,Andy Weir,RS,36.92,Peanut Shells,281.00,3.00,-3.00,843.00,-843.00,0.000000,0.000000,08/29/2017
69,Andy Weir,TO,19.00,Subspace Phase Circuit,236.00,25.00,1.00,5900.00,236.00,1165.8400,7301.8400,08/25/2018
70,James T. Kirk,WZ,39.00,Starboard Duotronic Transition Multiplexer,228.00,18.55,3.00,4229.40,684.00,1916.2260,6829.6260,03/01/2017
71,Obi-Wan Kenobi,BM,-3.00,Central Frequency Conduit,325.00,17.00,0.28,5525.00,91.00,-168.4800,5447.5200,08/14/2018
72,Quark,SO,39.00,Inertial Transference Modulator,176.00,32.72,0.00,5758.72,0.00,2245.9008,8004.6208,09/07/2018
73,Geordi La Forge,WA,-3.96,Starboard Duotronic Transition Multiplexer,279.00,18.55,3.00,5175.45,837.00,-238.093020,5774.356980,09/30/2016
74,Luke Skywalker,LI,24.47,Holographic Variance Sensor,108.00,37.49,1.83,4048.92,197.64,1039.133232,5285.693232,08/25/2018
75,Doctor Who,RG,44.00,Dynamic Resonance Buffer,301.00,17.00,4.08,5117.00,1228.08,2791.8352,9136.9152,08/25/2018
76,William Riker,RI,23.25,Central Frequency Conduit,190.00,17.00,0.28,3230.00,53.20,763.344000,4046.544000,09/07/2018
82,Andy Weir,DB,22.00,Primary Flux Matrix,243.00,8.43,0.00,2048.49,0.00,450.6678,2499.1578,08/20/2017
83,Pavel Chekov,LO,9.43,Negative Flux Conduit,144.00,26.00,3.00,3744.00,432.00,393.796800,4569.796800,06/16/2018
84,Mazer Rackham,RC,42.00,Duotronic Interference Actuator,211.00,33.00,1.00,6963.00,211.00,3013.0800,10187.0800,12/06/2016
89,William Riker,FM,17.00,Negative Transference Index,278.00,15.22,3.00,4231.16,834.00,861.0772,5926.2372,12/14/2017
90,Teal'c,RK,31.00,Burlap,188.00,6.00,0.00,1128.00,0.00,349.6800,1477.6800,08/28/2017
91,Darth Maul,CA,32.64,Dynamic Resonance Buffer,353.00,17.00,4.08,6001.00,1440.24,2428.820736,9870.060736,08/30/2017
92,Andy Weir,RO,15.00,Inertial Control Modulator,305.00,34.89,0.51,10641.45,155.55,1619.5500,12416.5500,09/11/2017
93,Donna Noble,DM,27.52,Modular Inertial Replication Scanner,226.00,7.00,3.00,1582.00,678.00,621.952000,2881.952000,12/05/2017
94,Jack O'Neill,OS,29.83,Gravitronic Polarization Sequencer,338.00,7.82,1.81,2643.16,611.78,970.948602,4225.888602,02/21/2018
100,Darth Vader,CC,38.00,Auxiliary Transition Buffer,263.00,37.33,4.42,9817.79,1162.46,4172.4950,15152.7450,06/15/2017
101,Chakotay,IR,21.00,Inertial Transference Modulator,124.00,32.72,0.00,4057.28,0.00,852.0288,4909.3088,09/20/2016
108,Doctor Who,FA,34.00,Molten Lava,79.00,668.78,49.00,52833.62,3871.00,19279.5708,75984.1908,04/09/2017
109,Martha Jones,LF,12.10,Quantum Dissipation Matrix,218.00,28.54,0.53,6221.72,115.54,766.80846,7104.06846,03/21/2018
109,Qui-Gon Jinn,WO,34.00,Quantum Replication System,172.00,15.00,3.00,2580.00,516.00,1052.6400,4148.6400,11/09/2016
